category_name,department_name,list_price,unit_price
 LAptoPs ,sPorts & OutDOOrS,5414806,5412969
 FitNesS ,fAsHioN ,2542615000,2526791
bLocks ,beauTY cArE,275.43 VND,6548768000
 PhONes,hOME aNd LiVING ,5142000,5091645
 CaMEras ,bEAUtY caRE,4267997000,4202965
tEAM spoRtS ,BEAuTy/CarE,230.04 VND,226.42 VND
 MakEuP ,hOMe & liVING ,7840404000,7834157000
skiNCArE , FAsHON ,9607845000,398.66 VND
 clotHInG,Toys,25.71 VND,536000
CYCLiNG, faShon ,492103,430037
 fitNESS ,bEaUTy CARe ,7147448,296.80 VND
SHoes, HOME anD LIVinG,4603052,4529742
 PHoNES , BeauTy caRE ,4162719000,170.32 VND
AuDiO , BEaUty cArE,350.12,347.68 VND
 clEanIng, HOMe & LiviNG,2325365000,2265990000
SKINcARE , fashoN ,150.76 VND,3565000
Team sPORTs,ELectrONICS ,6644000,275.65 VND
 fURNitURe, Home AnD livING,3414390,3382803000
 dECor , hOMe&livING,2623571,108.66 VND
ClOthiNG , BeAuTy/cARe ,4230658,4132328
cyclinG , sportS & OutDoORs ,7993141,331.90 VND
 MAKeuP, SPOrTs-oUtDooRS ,8865949,8833167
BoarD GaMes ,eleCtronic ,5379253000,221.71
 WearAbLES,eLEctroNicS,2876000,2862133
 mAKeUp , beAUty/CaRE,311.96 VND,309.99 VND
kITCHEN , fAShioN ,205681,175000
pUzZlEs,HOME AnD LIvING,2992052,2967859
 lApToPs, fasHON ,7433669,305.73 VND
 pHOnes ,HoME & LivINg ,5836493000,5750190
kitchEn,tOYs ,9558543000,9528365
fUrniTuRE, Toyz,9220000,9184000
 OUtdoor , BeAUtY/CARe ,3850000,3804000
 fuRNITuRE,Fashon,204.84 VND,204.41
 bOaRD gaMES , FAshon ,326.08,7783558
 OutDoOR , BEaUTY/care ,1643932000,65.85 VND
Furniture , sPOrtS-ouTdOors,2319718,2221674
Furniture , spOrTS & oUtDooRs,385.66,9200982
 boarD GAmes , ElectrOniC,150.11 VND,3559307
 acCessORIes, Home & LiVInG,9668000,9617001
 oUtDOOR , FASHON ,8.89 VND,140000
 lAPtopS ,eLeCtRONIcs ,274.22,272.03
SkInCArE,hoME & LIVINg ,4913438000,4833457
 ShOEs, Toys,4248027,174.52
 fItNess,TOYz ,5138578000,5069625
clEANing ,BeaUty/cAre ,6994701,289.88 VND
 CycLING , SpoRtS & OUTDOORS,371.01,8808502
KiTcHEn ,HomE AND LIvIng ,5392282,5345313000
CaMErAs,ToYS ,56.66,1326471000
RC,BEauTy/caRE,8489843,8410158
 BlOCKs ,electrONIC,5248953,5208644
shoEs,SPoRTs & ouTdoORS ,9625981,9551933
shOEs , beAUtY/cAre,397.31 VND,9532178
lApTOps, eLecTRoNIC,9800391,9783770
 blocKs, BeauTY/caRe,4028469,164.88 VND
shoES , beAUTY/Care,4742311000,194.79
CLotHiNg ,hoMe & liViNG ,3607420,3599186
 cLOTHING , ElEctRONic ,9046868000,8969248
 CLOTHINg , Home & LiVING ,8216466,338.73 VND
Furniture ,SPORTS-ouTDOoRs,1414000,1412411
camERAs ,home & livInG ,225.68,225.44 VND
 phOnes , TOYS,9116797,9022682
 skincaRe, sPORtS-OutDOoRS,3277990,3249457
bLockS,ELECTronicS ,269.88 VND,269.22
 WeARAbLes,ELECtrOnics,90.58,2113526000
 weaRABLEs , SPorTs-OuTdOORs,9397820,9307000
rC, BeaUtY CARe ,5639799,5582876
rC,tOyz ,135.88 VND,132.84
boaRD gaMES ,eleCtRoNIC,97.24 VND,95.51 VND
dECOR , hOMe And LiviNg ,201.8,4831810000
puzZleS , sporTS-OUTdoORS ,377.37 VND,9038979000
 AuDIo, bEaUty/Care ,133.48 VND,3194483
 weArablEs,EleCTrONiC ,5323676,5249396
cameRaS , spOrTS & oUtDoors,1565566000,1533125
 cAmeRAs,ELeCtrOniCs ,408.69,9742789
 LaPtoPs , BEaUTy/CaRE ,269.18,6370000
 ShOEs , bEAuty Care,4906529,4817000
 cleAning ,EleCTronICS ,6986050,6907257
 hAirCAre,fasHiON ,8512000,352.05
SkiNCarE,bEauTy/CARe ,9836652,9812776
 DECOR, ToYs,1415000,58.88
CloTHiNG , tOyz ,158.73,3741910
cAmeRaS , hoME & lIVING ,7012844000,289.81
 SkiNcarE,HoMe&liViNg,354.9,8433484
DEcoR , homE ANd livInG ,2211000,89.73
OUtdOoR ,tOYs,1559222000,1522059
 fuRnITURE , SPORTS-ouTDOoRS ,1935000,1919674
hairCAre ,ELECtRoNiCS ,6544422000,272.05
 FuRNItUre , TOys ,6200025000,6184000
 BlOckS ,fasHIoN ,1942966,78.41
 BLOCKs, SPORTS & OUTDOOrs ,8444902,351.15
ACCEssorIeS ,tOys ,4845159,197.96
 fuRNITURE, FAsHION ,569285000,529560
Shoes, FashoN ,1638156,65.82 VND
 fiTNESs ,Fashon,181.63 VND,4348909
 WeARables ,Home & liViNG,4773791,197.42
BOard GaMEs, SpOrts & oUtdOORs,121.30 VND,2867810
kiTChen ,elECTRONic ,89.94,2072000
 fItnESs,beaUTy cARE,166.01,3884626
 SHOEs, spOrtS-outdoORS,297.20 VND,7053424
team spORts , SPorTS-oUTDOOrS,9234674,9219578000
 auDiO , sporTS-oUTdoORS,143.07,3421564
bOaRD GamEs , HOME&LiviNG ,135.44 VND,3230353
 DECoR , fAshON,9430081,9400679
 bLoCKs, hoMe and liViNG ,1016000,1013691
 shoeS , sPoRtS-OutdooRs,60.00 VND,58.95
KITCHEn ,ELEcTroNicS,4318983,4304000
 AcCeSSoriES, SpoRts-OUtdoORS ,9367908000,9334977
 pHones , eLECtroNIC,257.09 VND,6085548
 phoNEs , tOyZ ,184.73,181.83
 WEArABleS,FashOn ,5766000,5713059
cLOthINg, toyz ,383.8,9143290
 CamERas,BEautY carE,7293000,303.46 VND
 AcCessoRiEs ,tOys ,367.63,8791818
CameRas, SportS & ouTdOoRs ,224.47 VND,5350158000
Audio , ELECTRoniCs ,6736313,280.03
CLOThINg, eLectROniCS ,1347585,52.55
KiTchEn ,sPorTS & oUtdooRs ,7315823000,7315143000
 pUZzles , HOmE & livinG ,6208915,257.34
 PhoNeS, FaShon ,3276000,3256000
fitnESs ,SpoRtS-OUTdoOrs ,5776675,5736857
 FItNesS,eLECtRonIcS,195.87,4660000
BlOCkS, BeAuTY carE ,2989000,2940483
lAPTOPS ,SPORTs-OUtdOOrs,3132367,128.98 VND
aCcessORIES,hOmE & LivINg ,4764641,4711789
TeAM SpoRts , TOyS,7882593000,7880000
 WEaRABLEs,eLeCTRoNIc ,1218480,1133986
rc,BEaUTy CArE,259.52,6174522
 FuRNiTuRE ,EleCtRONiCs,6232181,256.57 VND
CleaniNG,bEAuty cAre ,298.95,7098532
 lAptOps,homE&LIVIng ,194.56 VND,4650000
 aUDIO ,toYs,1750636,1654536
 Team SPoRTS ,Fashon,159.53 VND,3804993
 cAmeRaS ,fAShiOn ,4109039,4012000
phOnEs ,ToyZ ,1678491,1616515
bOard GaMES,faShON,2293312000,2225491
 haiRcARe,beAUTY/cARe ,43.11 VND,1001079
CYcLING,tOyS ,3088027,3040694
BoArd Games, HOmE&lIvINg ,289.34,289.28 VND
Rc, home AND LiviNG,3401196,3399064
hAiRCARE, HOme & LIVING ,393.81 VND,9413720
ACcESSoRIes ,Sports-OUTDOors,887197,821526
SHOEs, Sports-OutDOoRs,289.13 VND,6938779
 bloCkS , EleCtrOnIcs ,5139983,211.19 VND
 AuDIO, fashoN,9334483,9281974
Rc ,tOYZ,259000,176747000
 TEAm SpoRTS, ELecTRONIcS,4262674000,4190179
 OuTdOor , sportS-OuTDooRs,5027002,4959242
 lApTOPS , tOYz ,6291093,261.46 VND
cLoThInG ,fashIoN ,4708110,195.83
DEcor , HOME ANd LiVINg,386.31 VND,9242038000
KITCHEN, EleCtRONic ,7086484,7033000
SkiNCARe, tOYS ,8203708,8184124000
 TEam SpORts,eLectRoNic ,1500256,58.67
ACCEssORIes ,Beauty/care ,45.30 VND,1051884
 PuzZlEs , electroNicS ,8207777,8192456
 RC ,SpORtS & OuTDooRS,338.35,336.68 VND
 TEaM spOrts,hOmE aND LivInG,5332000,5261451
 AcCessorIeS, fAsHIon ,2815787000,114.92
 AccEssORIEs, beauTY care ,1348491,1263748
CLotHing , BEaUtY/cARe ,9048000,375.7
ACcEsSorIES,HoME&liViNg ,8821450,366.83 VND
phonEs ,ELecTRoNics,1127516,1081712000
bLoCKs , HOME&liViNG ,8749362,8723903
puZZlES,ELecTrOniCs ,4099836,167.34
 aUdIo,eLECTRonIC ,16.09 VND,304000
 phONEs,ELecTROnic,9537337,9464177
 WEArabLes , BeAUtY cARE ,5897118,5890320
 hAirCARe , ELeCtrOnics ,8477019,8409205
cLotHING,SpoRtS-OuTDoORs ,8843000,364.81 VND
 LAPTOps,elEcTROnicS,9992101,9896500
hAirCare ,FASHIoN ,767799,28.79 VND
 LAptoPS ,eleCtROnIC,1464915,1376358
hAIRcARe , ToYZ,302.81,7170936000
 phONes, toyZ ,9486655000,9476464
 phoNes ,hoME AnD liViNG,2421004,96.93 VND
DEcoR ,HoME and livING,8893000,8866845000
CYclInG, sPORts & oUtdOoRs,245.58 VND,5871257
lapToPs,ELECtRONicS ,7413000,7402336000
Furniture ,eleCtrOniC ,4658000,4610290
 fURNiture, faSHoN ,5015222,4969000
 cycling,TOyS ,7797431000,324.39
fItneSs,TOYs,123.98,2969186
DeCoR, TOyZ,5864605,5818648
 CleANinG,sPORTs-OutdooRs,187.48 VND,4429543000
 HaIrCare, homE&LiVINg ,117000,105428
Furniture , ELeCtRoNiCs,9060000,376.09
 CaMERaS ,tOys ,8409000,8341274000
 clOtHIng, Home & LIViNg ,172.52 VND,4076350000
CamERAS, eLECTRoNIc ,7909213,326.27
 bLockS , elECTRoniC,7185867,296.47 VND
 shOES, TOYZ,9730401,9723385000
CLeAniNG, ELECTrOnIc ,3343768,3243966
 sHOEs ,TOYz ,1216381000,1199383000
AUdIo , fAshiOn ,9770992,403.09 VND
HAirCArE, HOmE&LiVInG ,6660877,6589259000
 oUtdOOr, ELectrOniCs ,191.62,190.85
haIrCare , ElECTrONIc,666416,634.46
 PuzZLES, toys,9982000,413.71 VND
 tEam spORTs ,HoME&LivINg ,6007658,5977115
caMeraS, eleCTRoNicS ,156.51,3734324
auDIo, sPOrTS & outdoorS ,5554748,5479666000
AUdIo ,home And livIng ,5291023,5221548
CamERAS ,FaShIoN ,49,47.86
 caMerAs ,SPorts-OuTdOors,400.69,397.64
Furniture , BEauty CARE,2699415,112.05
 teaM SPORTs, hOmE aND LIVing,5415545000,5353574
MAkeUP ,bEautY/CARe ,8848121,8821617
WEAraBLES ,eLECTRONIC,9354063,9300498
 RC , ElECTroNIcS ,9697914,9694000
 LaptOps ,ELECTRonICS,4776102,4718820
 AUDIO ,SpOrtS & oUtdoORS ,346.40 VND,344.88
PHoNes , HOME anD LIVING,1000000,967464
 KiTchen , bEAuTy/carE ,3102103000,3024082
lapTops ,HOmE&LiVING,9527272,395.04 VND
puzZles , sPorTs & OutDOOrs ,7117005000,293.42
 SKINCaRE ,eLEcTRoNICS ,152.4,3578921
fitnESS,Toys,245671,6.88 VND
 pHonEs, FaShIon,6761411000,6695000
PUZZLEs,eleCtRonIC ,202.1,4787923000
 PHoNeS, SpORts & ouTDOorS ,7315567000,304.48 VND
 wearablES , SPortS-ouTDoORS,1171502000,1079582
 RC , BeaUtY/cARE ,51.56,1162517000
 AUdiO,toyz,4980048000,207.45 VND
 PhONEs , elECtRONic ,2945968,121.34
 rc ,spoRtS-oUTDOors ,6885405,6800000
shoes, ELEcTRONIcS,6164438,255.37
 kITchEN, ELECTronICs ,65.16,64.67 VND
 ClOtHInG, fashON,4913692000,4831040
 BOArd gaMes,eleCtrONICs ,9328442000,9237000
WeaRABles, HOmE aND livINg ,8738004,8661745
CamERas , BEAuTy/cARe,598323,597367
Furniture ,home&LIVINg ,303.61,7239804
Furniture ,bEaUTY/CAre,7616141000,313.36 VND
 boARd GAmEs,FasHiON ,22.29,19.25
phOnes ,hoMe & LIVInG ,3358250,137.26
BOARD GamEs , SporTS & ouTDoORS ,4613000,4607354
 ShoeS ,BEaUTy cARE ,2437351000,2402071
 fITnESs , ELeCtRoNIc,83.55,1909788
AUDIO,hoME&liVinG ,181.89 VND,4340740
 LaPToPS,BeaUtY/carE,147.23,3508799
MakEup ,fashon ,90.39,2116000
weaRAblEs ,HoME and LIViNG ,9772492000,9675394
fiTNESS,EleCtroNiCs,855793000,837323000
 bLOckS, SpoRtS-oUTdoORS,367.84,366.94
TEam sPoRtS,SPOrTS & outDooRS,74329,1000
 cYCling , HOmE & LIVinG,191.96 VND,4512281000
cLOthiNG,FAsHION ,5504131,225.33 VND
laptOps , fAShioN ,128.36,3007414
PhoNes, EleCtroNIC,8628591,8619000
 CyCLINg,home & LivinG ,9292930000,9239308000
 camEras, tOyz,162.88 VND,159.22 VND
 TeAM sPORtS , bEaUty/CarE ,308.94,7361088000
 LaPTops, hOmE&lIvING,2682912000,109.28
 LAPTops, home&liVInG,2405000,2380233000
deCOr, tOyS ,8136321000,8120599
laPTOps,ELecTRONICs,205.71 VND,201.64 VND
 aUDIo ,bEAutY cARe,285.48,6770657000
oUTDOoR,elecTrOnICs,7996404000,329.7
 haIRCaRe ,SPoRts-OUTdOors ,6804258,6790385
ACCEssORIeS,fAShIon ,5643571,5565585
KITcHeN, eLectroNIcS ,9621000,396.96 VND
PhOnEs ,HoMe&LiviNg ,133.29,129.56
 cLothIng,bEAUty CaRE ,270.31 VND,6395797000
 phOnES , BeaUTY CARE,9338000,9299644
Furniture ,HOmE AnD lIVInG ,9407612000,9328824
cYCling, elEctRoNICs,3251278000,134.03
OUtdooR,SportS-OutdOors,291.12,6935574
Audio , SpOrTS-outDooRS,8933151,370.03 VND
Furniture , bEAuTY CaRE ,341.76,8148839
 FURnitUre , beAuTY cARE,8852616000,367.91
 HairCarE ,Home AND liVinG ,322.02,7655736
board GAmes , elECtRONiCS ,8666750,8590000
aCCessOrIES , HOme&livING,6576779,6563333000
AuDiO , hoMe&livInG,310.63 VND,309.45 VND
makEup ,HOME&liVInG ,56.75,55.89
bloCkS ,hoMe aNd lIVing ,4993000,4977552
aUdIO ,BEAutY CAre,9385496,9362545
bloCkS,eLectroNicS ,1842789,1822186
Decor,ELeCTroNICs,4196136,4116796
 SKInCARE , FAshON ,6622000,6535635
CAmErAs, elEcTrONIc,3423958,142.18 VND
FurNiTurE , fAsHon ,302.79 VND,7247676000
 wEaRaBLes,eleCTRONIcs ,4643000,4626000
 weARAbLEs , elecTROniCs,337.82 VND,8100430
 PuzzLEs ,HomE & LIVInG,6975732,287.65 VND
 teAM SportS,SPorTS-OUtDoOrs,4936137,4864784
cAMeras ,EleCtRoNicS,6468176,267.05 VND
 ShoEs , eLeCTRoniCs,5388871000,5317112
 lAPtoPs, FAsHiON ,148000,4.96 VND
 KiTcHEn, eLECTRonics,225.42 VND,5384599
 lAPToPs ,BeautY/CarE ,1800920000,1792000
RC, toYS ,9113000,9053052000
 PHONes, SPoRtS & OuTDooRS ,7794777,7737532
 ClOThInG, hOME&liVing,206.84,4948000
PuzZLeS,hOme&lIvinG ,1689982000,67.19 VND
Furniture , HoMe AnD LiVIng ,313.15 VND,313.00 VND
 BlOcKs ,BEAuTy/CaRE,258.10 VND,255.29 VND
 kitchen , eleCtRONIcs ,120765,56.65
auDiO ,BEAutY cArE,389.06 VND,389.03 VND
dECOr , EleCtroNICs,222054,162212
 Rc ,eLeCTronicS ,9355929,388.12
 pUzZles , beautY Care ,2020788,1987109
 AuDio ,eLECTrONIcS ,300.62,299.26
rC , sporTs-oUtdooRs ,1897976000,75.14
aCcEsSORIeS,fAsHON ,103866,101.47
lapTOPs ,HOmE & living ,3185126,3086066
 sKinCaRe, sPOrTs-oUtDoOrS ,257.63 VND,254.00 VND
clOThING , BeAUtY/CaRE,361.58 VND,8620024
cycLInG , toYZ ,180.09 VND,4268000
ShoES ,beaUtY CARe ,9347036000,387.7
 PhONeS ,FaSHIOn ,9.18,8.99 VND
 DECOR,Fashon,1856013,1829130000
 cYCLiNg ,FaSHiON ,1615410,1605268
 AcceSSoRIes ,eleCtrOniCs,2088297000,2018869
 clEanIng , bEAUTy CaRe ,263.34 VND,6248817000
 caMerAS ,ToyZ ,1896000,1882267000
 kiTCHen,fAsHon ,43.66 VND,41.26
phONES,ELEcTRoNic,169.84,168.56 VND
 KiTcHEN, HOMe and LiviNG ,5891999,244.71
clEanING,tOyZ,301.14 VND,299.98
 PUzZLes ,TOYz,6522000,6444000
 CaMERAS ,FASHON ,5436401,5409000
LaPtoPS ,eLECtROnIc ,1992606,1924000
 HaIrcAre,BeautY/CaRe,6470500,6373421000
 WeaRAblEs , ElEcTroniC ,139.22,135.96
ClOThING, SPOrtS-OUTDOORs ,4422000,184.15
cAmErAs ,ElecTronic ,266.56,262.82 VND
 auDio , TOys ,781557,30.26 VND
PUzzLes ,elecTrOnICs ,3499030,3415214
sKiNcAre, TOYS,5188000,5114833000
 WEARABLeS,BEautY CARE,44.05,1010947
 board gAmes ,hOmE ANd lIVing ,2568169,105.25
HaiRcarE, ELECTRoNiC,1928403,1875742000
 fURNitUre, SPoRts-OutdoORs ,150.18,3537112000
 laptOPS , homE & LiVinG ,149.74 VND,3545000
SKiNCarE,FAsHoN,7444929000,7376284
 weArAbLes ,FaShIon ,60.54,1434392
PhoNeS , ElEcTRonIc ,361.69 VND,8590864
 shoeS ,FAShOn ,317.42 VND,7522000
ClOthING,Fashon,2420699,2414938
 mAkEUP,eLEcTROnICs,838000,743625
 oUtdOor, ELECTrONiC ,1687654,1623583000
 SHOEs , ELEcTROnic,3566628,3490411
makEup,beAUTY/cArE,247435000,165000
 BLoCkS, hOME AND livINg,1704000,1627583
 BoArd GAmEs ,SpORTS-oUtdooRs,396.81,9437862
PhOnES,home&liVING,7965998,7941000
 bLOCKS, HomE AnD LiviNG,1883019,1840379000
 CleaNInG ,hOme&liviNg,5762527000,237.96
 FiTnEsS, fAsHiON ,4122000,4109514000
 fITneSS , FASHOn ,84387,0.64
WeArABlES,eLEcTRonIc ,3019977,2943150000
CyCLiNg ,SpOrts-ouTdoOrS,6056000,249.08
sKInCARE,FASHIon,3183241,3145007
 bLoCKS, FAShiOn ,6190277,6184000
 PhONES ,hoMe&living ,7958739,7918636
 mAKEUp,beaUty cAre ,164.06 VND,3934206
 pHOnES, eLECTROnICs,7479777,7476000
 lapTOPs ,fAsHON ,78.10 VND,1789962
 clOTHING,eLEcTrONICs,72.93 VND,70.98
 WEaRaBLeS,FashOn,139.79,3306322
 PHoNES,BEaUty CarE ,8264000,8172710000
fuRNIture, hOME&liViNG ,195.53 VND,193.79
 sHOeS,ElECtRONiCS,7192380,7128349
CleaninG,Fashon,41.37,981542
KitchEn ,hOme AND liVinG ,6608978,272.39
tEaM sPoRtS,eLecTROnIcs ,8348792,8322394
 DEcor, HoMe&LIVIng,268.13 VND,6347508
 weArABlES ,FaSHoN,1685000,1638587000
 cLoThiNg,ELEctrONics,801000,29.57 VND
 pHONES,FAsHIOn ,5555231000,5456000
 phONES,fAsHiON ,174.2,4102795
rC,elEctRonIcS,6281673,6250725000
CAmeras , beAuTy care,347.51,347.15
 KITchEN, elEcTronICs,8678927,8637953
Furniture , ELECTRONics ,181.01,4283714000
clOTHINg ,bEauty caRE,9751602000,406.05 VND
 BlocKS,SPorTS & oUtDOorS,929883000,843105000
 acceSSORiEs ,sPoRts & OUtDOors ,3579305,147.94
CamErAs, Fashon,5551213000,228.75
SkinCARE,ToYS ,6984000,6901019
TeAm spORTS,eLEcTrOniCS,250.17,6003531
 phonEs ,FAShION,2592035,2575272
 MAKeuP, FashIon,9620220000,9575866
fITNEss, elecTroNICS,3806424,3776914
BoARD GAmeS, beAuty/CaRE,234.26 VND,5528000
sKincaRE , elECtRoNIC ,79.42 VND,1862147000
DecOr , TOYZ,255.41,252
oUtDoOr, ToyZ ,4779400,199.07
furNITUre,fAShiOn ,384.43 VND,9216000
 kItchEn,fasHioN,5267262,219.13
PUZzLES,FasHon ,709545,697167
 aCCessoRies,ElEcTRonIC ,334.95,8021525
 CAMeraS, beAUty CaRE ,5494959000,228.61 VND
HAirCarE,FAShion ,19.44,378313
 ClOthInG ,TOyz ,5584432,231.97 VND
 fUrnITurE , fAsHON,3803776,3789000
 FuRNItURE, FasHOn ,4371050,4369946
 PHoNes, fAsHOn ,6835683,283.89
bOArd GameS , sPOrTS-OUtdOORS,3295105,3284282
BLockS, SporTS & ouTDOOrS,36.50 VND,35.79 VND
 CAmerAS, ElecTrONICs,6982017000,6883562
AUdIo,tOYz,7387079,7330906
cYcLInG,FAshon,6307270000,6233227
 FURnItUre ,SPOrts & ouTDoOrS ,5458000,225.4
 TEAM spORtS ,EleCTRoNIC ,4562476,187.24
 WEaRaBLeS, spORTS & OUTDoORs ,7164473,7098762
 lapTOPS, eLecTronics ,134.14,3136377000
audIo,sPoRts & outDoORS,315.51 VND,7549501000
HAIRCArE,HOMe & liVING ,4460000,4420275
Rc,FASHOn,766969,688027000
 Rc,eLECtRONics ,4842861,4788214000
LAPToPS , home&lIviNG,1424102000,1357736000
CYCLInG ,eLEctronic,4388835000,4345826
 WearABlEs ,ELeCTRoniC,9324821,9264016
 cLeanING , sPOrts-OUtDooRs ,187.81 VND,4447000
TEAM sPOrTS, spORtS & ouTDooRs ,3343670000,137.11
rc,fasHoN,7232000,300.82 VND
 CAmErAS ,eLECTrONics ,8113830,8027964000
WEaRAbLes ,ToyS,25.81,530176
 LAPtops, ElECtRonics,413.96,9893573000
CAMERAs ,eLecTrOnIC ,4275325,4193749000
 MaKEUp,tOys,114.39 VND,110.81 VND
 pHonEs ,SPOrTs & oUtdoORs ,7093329000,291.73 VND
 Rc,TOYz ,3626712,148.55 VND
WEarAbLes, SPORTs & oUtdOors,7883462,7848136000
ShOes,TOYS,2785408,2697334
 DECoR,beAuty/CaRE,1023060,964665000
pUzzlES , beAUty/care ,8006321,7959412
clOThinG , FaSHIoN ,8476148,8379696
 PhoneS, SpoRTs-OuTdoOrs,4844237,4802000
hAiRCarE , toYs ,3198000,130.50 VND
 pHoNeS , HoMe ANd LIVinG ,7557680,7496000
aCCEssOrIES , ElEcTronicS ,8245453000,8208225000
 accEssORieS , homE AnD LIvIng,704408,686471
BOarD gamES , eLeCTROnICS ,4130167,4055106
sHoeS,sPORtS & OuTDOors,5148817,5085462
 AuDiO,hoME & livinG,1438192,1427000
pHones , Home & lIvINg,216.10 VND,5110000
aCcESsoRIEs , eLecTrONIcs ,80.92 VND,1902000
fitnESs ,FAsHion,4458338,4452024
fItNEss , HOME & LivIng,141.96 VND,139.51
 CamERAs , ElecTroNIcs,124.1,120.14
DEcOR , ELECTRONIC ,8613839000,8580994
cYClING , ELeCtronIcs ,7538000,7486352
oUTdOOr,eleCtrOniC ,92.96 VND,2173483
accEsSoRIEs, hoME&LIVinG ,37.85 VND,33.72 VND
 CYClinG , BEAUty/cAre ,3436800000,139.56
 PUzzLES ,sPORTs-ouTdOOrS,8282203,8225826
 cLOThIng ,electRoNic ,196.82,4705000
LaptOPS ,hOme And LIVINg,31.08,30.83
 CleANING , eLeCtRoniCS ,284.55,6791000
 LapTOPs, hoMe anD lIVinG ,396.59,9495046000
DecOR , bEAuTY caRe ,5952994000,244.12
 FItnEsS ,sPorts & OuTDooRs ,1295809,1235307000
oUTDooR ,elECTRoNIcS ,2872204,118.62 VND
cAMeRAS , ELectrOnIcs ,7548000,7497057
Furniture , BEAutY/CarE,0.87,1000
 boaRD gAmEs ,SpORTS & OutdOorS ,171.84,4064000
mAkeuP, home&LIvinG ,120.68 VND,2816176
PUZzles ,TOyZ ,379.20 VND,9025722
 outDOOr,Fashon,395.37,393.34
 weARabLes , ELecTronIC,274.74,271.82 VND
 WEArAbLes, sporTs-outDooRs,9443814,9350000
PHoNeS ,beaUty care ,5402000,223.65
kitCHEN,Fashon,272.16,272.07 VND
